date,births
1975-01-01 00:00:00,265775
1975-02-01 00:00:00,241045
1975-03-01 00:00:00,268849
1975-04-01 00:00:00,247455
1975-05-01 00:00:00,254545
1975-06-01 00:00:00,254096
1975-07-01 00:00:00,275163
1975-08-01 00:00:00,281300
1975-09-01 00:00:00,270738
1975-10-01 00:00:00,265494
1975-11-01 00:00:00,251973
1975-12-01 00:00:00,260532
1976-01-01 00:00:00,259173
1976-01-01 00:00:00,257455
1976-02-01 00:00:00,238153
1976-02-01 00:00:00,236551
1976-03-01 00:00:00,261608
1976-03-01 00:00:00,257951
1976-04-01 00:00:00,250992
1976-04-01 00:00:00,246469
1976-05-01 00:00:00,261572
1976-05-01 00:00:00,256986
1976-06-01 00:00:00,255734
1976-06-01 00:00:00,250525
1976-07-01 00:00:00,279744
1976-07-01 00:00:00,279630
1976-08-01 00:00:00,279937
1976-08-01 00:00:00,286496
1976-09-01 00:00:00,273750
1976-09-01 00:00:00,283718
1976-10-01 00:00:00,267841
1976-10-01 00:00:00,280280
1976-11-01 00:00:00,249907
1976-11-01 00:00:00,258011
1976-12-01 00:00:00,265787
1976-12-01 00:00:00,265886
1979-01-01 00:00:00,270695
1979-02-01 00:00:00,249898
1979-03-01 00:00:00,276584
1979-04-01 00:00:00,254585
1979-05-01 00:00:00,270818
1979-06-01 00:00:00,270704
1979-07-01 00:00:00,294704
1979-08-01 00:00:00,302805
1979-09-01 00:00:00,293903
1979-10-01 00:00:00,288965
1979-11-01 00:00:00,274679
1979-12-01 00:00:00,284939
1982-01-01 00:00:00,292009
1982-02-01 00:00:00,279961
1982-03-01 00:00:00,297309
1982-04-01 00:00:00,286780
1982-05-01 00:00:00,293687
1982-06-01 00:00:00,293018
1982-07-01 00:00:00,321836
1982-08-01 00:00:00,323129
1982-09-01 00:00:00,320536
1982-10-01 00:00:00,311312
1982-11-01 00:00:00,289580
1982-12-01 00:00:00,303101
1983-01-01 00:00:00,311000
1983-01-01 00:00:00,294632
1983-02-01 00:00:00,281000
1983-02-01 00:00:00,273234
1983-03-01 00:00:00,298000
1983-03-01 00:00:00,301691
1983-04-01 00:00:00,287000
1983-04-01 00:00:00,285578
1983-05-01 00:00:00,305000
1983-05-01 00:00:00,296323
1983-06-01 00:00:00,302000
1983-06-01 00:00:00,297935
1983-07-01 00:00:00,339000
1983-07-01 00:00:00,326182
1983-08-01 00:00:00,323000
1983-08-01 00:00:00,329870
1983-09-01 00:00:00,315000
1983-09-01 00:00:00,319971
1983-10-01 00:00:00,323000
1983-10-01 00:00:00,309106
1983-11-01 00:00:00,300000
1983-11-01 00:00:00,290843
1983-12-01 00:00:00,320000
1983-12-01 00:00:00,303873
1986-01-01 00:00:00,292200
1986-01-01 00:00:00,297750
1986-02-01 00:00:00,281564
1986-02-01 00:00:00,276981
1986-03-01 00:00:00,303970
1986-03-01 00:00:00,310928
1986-04-01 00:00:00,285823
1986-04-01 00:00:00,293920
1986-05-01 00:00:00,299395
1986-05-01 00:00:00,303224
1986-06-01 00:00:00,298889
1986-06-01 00:00:00,303957
1986-07-01 00:00:00,325516
1986-07-01 00:00:00,317969
